Product Title,Price,Product Condition,Quantity,Shipping Info,Import Charges,Delivery Info,Returns Info
"New/Orig Lenovo ThinkPad X270 A275 12.5"" Lcd back cover for Small screen 01HW945",US $33.00,NewNew,7 available,US $28.00 Expedited International Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: CN, China","Estimated between Thu, Jul 13 and Fri, Jul 21 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Seller ships within 2 days after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
New/Orig Lenovo ThinkPad X1 Yoga 3rd Gen Touch Lcd Screen WQHD SM-Camera 01YT250,US $218.88,NewNew,5 available,US $28.00 Expedited International Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: CN, China","Estimated between Thu, Jul 13 and Fri, Jul 21 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Seller ships within 2 days after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Lenovo ThinkPad X270 FHD IPS Small LCD screen 00HN883 01EN374 00HN884,US $99.00,NewNew,5 available / 11 sold,"US $27.42 eBay International Shipping. See detailsfor shippingLocated in: Union City, New Jersey, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Mon, Aug 14 and Mon, Sep 4 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 27 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Lenovo 5D10V82349 FRU CSOT 14 UHD Glare 500nit small Screen LED Display,US $180.00,NewNew,5 available / 2 sold,"US $51.54 eBay International Shipping. See detailsfor shippingLocated in: Union City, New Jersey, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Mon, Aug 14 and Mon, Sep 4 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 27 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"IBM-Lenovo IDEAPAD 310 80SM 15ISK Series 15.6"" LED LCD Screen eDP 30PIN",US $50.60/ea,NewNew,More than 10 available / 1 sold,"US $49.08 eBay International Shipping. See detailsfor shippingLocated in: Mission Viejo, California, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Gaming PC Bundle i3 4th Computer Dell HP Lenovo WiFi 4GB 500GB Full set Screen,GBP 94.99,Good - RefurbishedGood - Refurbished“This bundle is in great condition with slight signs of general wear. Our refurbished PCs and ”... Read moreabout condition,2 available / 604 sold,"GBP 117.63 (approx US $149.27) Expedited Shipping to Egypt via eBay's Global Shipping ProgramThis amount includes seller specified domestic shipping charges as well as applicable international shipping, handling, and other fees. This amount is subject to change until you make payment. For additional information, see the Global Shipping Program terms and conditions. See detailsfor shippingLocated in: CHESTER, Cheshire, United Kingdom","Est. £40.06 Amount confirmed at checkoutThis amount includes applicable customs duties, taxes, brokerage and other fees. This amount is subject to change until you make payment. For additional information, see the Global Shipping Program terms and conditions","Estimated between Tue, Jul 18 and Thu, Jul 20 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Includes international tracking",30 days returns. Buyer pays for return shipping. See details- for more information about returns
B Lenovo Thinkpad X1 Helix B116HAT03.2 00HM806 Screen Touch Digitizer Assembly x,EUR 499.91,UsedUsed“B-Grade - Vom gebrauchten Original Lenovo Tablet gezogen - Kratzer auf der Oberfläche oder am Rahmen ”... Read moreabout condition,Last One / 6 sold,EUR 25.00 (approx US $27.27) Economy Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Neumark, Germany","Estimated between Fri, Jul 14 and Fri, Jul 28 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 7 business days.Seller ships within 1 day after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
New/Orig Lenovo ThinkPad X1 Yoga 3rd Gen WQHD Touch Lcd Screen SM RGB 01AY927,US $208.88,NewNew,2 available / 4 sold,US $30.00 Expedited International Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: CN, China","Estimated between Thu, Jul 13 and Fri, Jul 21 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Seller ships within 2 days after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
New/Orig Lenovo ThinkPad X390 Yoga FHD Touch Lcd Screen SM  02HM858 (not IR),US $169.99,NewNew,4 available / 2 sold,US $30.00 Expedited International Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: CN, China","Estimated between Thu, Jul 13 and Fri, Jul 21 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Seller ships within 2 days after receiving cleared payment.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
2 Pack Tempered Screen Protector For Amazon Fire/Galaxy Tab/ iPad/ Lenovo Tablet,US $6.31,NewNew,More than 10 available / 273 sold,"US $25.66 eBay International Shipping. See detailsfor shippingLocated in: New York, New York, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"15.6"" FHD Screen for Lenovo ThinkBook Series 15-IML 20RW, 15-IIL 20SM Non-touch",AU $139.00,NewNew,3 available,AU $67.15 (approx US $44.88) Australia Post International Standard. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: Clyde, NSW, Australia","Estimated between Fri, Jul 21 and Mon, Aug 14 to 11511 Delivery time is estimated using our proprietary method which is based on the buyer's proximity to the item location, the shipping service selected, the seller's shipping history, and other factors. Delivery times may vary, especially during peak periods. Please note the delivery estimate is greater than 11 business days.Ships today if paid within 12 hrs 41 mins See detailsfor shippingPlease allow additional time if international delivery is subject to customs processing.",Seller does not accept returns. See details- for more information about returns
Lenovo ThinkBook 15-IIL 20SM LCD Screen Display Hinges PAIR VS-L3 VS-R3,GBP 24.95,UsedUsed“Good Condition. Tested And Fully Working. 30 Day Warranty. Genuine Original Lenovo Part.”,N/A,GBP 13.00 (approx US $16.50) Royal Mail International Tracked. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: loughborough, West Midlands, United Kingdom","Estimated between Sat, Jul 8 and Thu, Jul 13 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
2PCS Tempered Glass Screen Protector for iPad/Amazon Fire/Samsung/ Lenovo Tablet,US $6.96,NewNew,More than 10 available / 255 sold,"US $25.67 eBay International Shipping. See detailsfor shippingLocated in: Brooklyn, New York, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Lenovo Thinkcentre M910s (SFF)  i5-6500 3.20GHz 16GB 512GB Window 10 Pro,US $475.00,"UsedUsed“The computer has been professionally refurbished and tested. Might have some scratches, blemishes, ”... Read moreabout condition",2 available,"US $184.43 eBay International Shipping. See detailsfor shippingLocated in: Owings Mills, Maryland, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Genuine Lenovo Thinkpad X270 Screen Cable Connector DA30000HE50 SM10M38708,AU $59.90,NewNew,N/A,AU $15.00 (approx US $10.03) Australia Post International Standard. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: BELMORE, New South Wales, Australia","Estimated between Thu, Jul 20 and Thu, Aug 10 to 11511 Delivery time is estimated using our proprietary method which is based on the buyer's proximity to the item location, the shipping service selected, the seller's shipping history, and other factors. Delivery times may vary, especially during peak periods. Please note the delivery estimate is greater than 10 business days.Please allow additional time if international delivery is subject to customs processing.",Seller does not accept returns. See details- for more information about returns
Lenovo Ideapad 310-15ISK 80SM | Only for FHD | LCD Screen FHD 1920x1080 Matte,US $80.00/ea,NewNew,More than 10 available / 2 sold,"US $61.02 eBay International Shipping. See detailsfor shippingLocated in: Newark, Delaware, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Genuine Lenovo ThinkPad X390 Yoga FHD Touch LCD Screen Bezel SM-Cam 02HM857,US $300.00,NewNew,5 available / 3 sold,"US $65.20 eBay International Shipping. See detailsfor shippingLocated in: Union City, New Jersey, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Mon, Aug 14 and Mon, Sep 4 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 27 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
30P LCD LVDS LED Cable Screen for Lenovo ThinkBook 15-IML 20RW 15-IIL 20SM b d 3,US $17.49/ea,NewNew,10 available,"US $25.87 eBay International Shipping. See detailsfor shippingLocated in: Seattle, Washington, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Fri, Aug 11 and Thu, Aug 31 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 26 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"Lenovo Ideapad 310 80SM LCD Screen Matte HD 1366x768 Display 15.6""",US $54.98,NewNew,10 available,"US $26.59 eBay International Shipping. See detailsfor shippingLocated in: Dallas, Texas, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Wed, Aug 30 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Screen Replacement for Lenovo Ideapad 310 80SM HD 1366x768  LCD LED Display,US $50.60/ea,NewNew,More than 10 available,"US $19.39 eBay International Shipping. See detailsfor shippingLocated in: Mission Viejo, California, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
01YN062 For Lenovo ThinkPad X280 A285 A Shell Screen LCD Back Cover FHD,GBP 70.28,Open boxOpen box,More than 10 available,Free Standard Shipping. See detailsfor shipping,"International shipment of items may be subject to customs processing and additional charges.International shipping - items may be subject to customs processing depending on the item's customs value. Sellers declare the item's customs value and must comply with customs declaration laws. As the buyer, you should be aware of possible:• Delays from customs inspection.• Import duties and taxes which buyers must pay.• Brokerage fees payable at the point of delivery. Your country's customs office can offer more details, or visit eBay's page on international trade.Located in: shenzhen, China","Estimated between Wed, Jul 26 and Wed, Aug 16 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.This item has an extended handling time and a delivery estimate greater than 14 business days.Please allow additional time if international delivery is subject to customs processing.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"Lenovo Ideapad 310 80SM LCD Screen Matte FHD 1920x1080 Display 15.6""",US $72.98/ea,NewNew,More than 10 available,"US $60.89 eBay International Shipping. See detailsfor shippingLocated in: Newark, Delaware, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"Lenovo Ideapad 310 80SM LCD Screen Matte FHD 1920x1080 Display 15.6""",US $89.91,NewNew,More than 10 available,"US $49.83 eBay International Shipping. See detailsfor shippingLocated in: TEXAS, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Wed, Aug 30 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
"Lenovo Ideapad 310 80SM LCD Screen Matte HD 1366x768 Display 15.6""",US $68.98/ea,NewNew,More than 10 available,"US $60.82 eBay International Shipping. See detailsfor shippingLocated in: Newark, Delaware, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
Tempered Screen Protector For Amazon/ iPad/ Samsung Galaxy Tab/ Lenovo Tablets,US $6.99/ea,NewNew,More than 10 available / 5 sold,"US $25.67 eBay International Shipping. See detailsfor shippingLocated in: New York, New York, United States",This item may be subject to import charges and taxes on delivery,"Estimated between Thu, Aug 10 and Tue, Aug 29 to 11511Estimated delivery dates - opens in a new window or tab include seller's handling time, origin ZIP Code, destination ZIP Code and time of acceptance and will depend on shipping service selected and receipt of cleared paymentcleared payment - opens in a new window or tab. Delivery times may vary, especially during peak periods.Please note the delivery estimate is greater than 25 business days.Seller ships within 1 day after receiving cleared payment.",30 days returns. Buyer pays for return shipping. See details- for more information about returns
